Time,IP Source,IP Destination,Attack Time
2017-04-26 18:42:32.950748,10.0.0.13,10.0.0.12,"(39, 0, 0)s"
2017-04-26 18:42:37.023568,10.0.0.13,10.0.0.12,"(43, 0, 0)s"
2017-04-26 18:43:54.411111,10.0.0.13,10.0.0.12,"(0, 0, 0)s"
2017-04-26 18:43:56.496767,10.0.0.13,10.0.0.12,"(2, 0, 0)s"
2017-04-26 18:43:58.585041,10.0.0.13,10.0.0.12,"(4, 0, 0)s"
2017-04-26 18:44:00.682447,10.0.0.13,10.0.0.12,"(6, 0, 0)s"
2017-04-26 18:44:02.760545,10.0.0.13,10.0.0.12,"(8, 0, 0)s"
2017-04-26 18:44:04.840816,10.0.0.13,10.0.0.12,"(10, 0, 0)s"
2017-04-26 18:44:06.920645,10.0.0.13,10.0.0.12,"(12, 0, 0)s"
2017-04-26 18:44:09.000750,10.0.0.13,10.0.0.12,"(14, 0, 0)s"
2017-04-26 18:44:11.081898,10.0.0.13,10.0.0.12,"(16, 0, 0)s"
2017-04-26 18:44:13.156170,10.0.0.13,10.0.0.12,"(18, 0, 0)s"
2017-04-26 18:44:15.236146,10.0.0.13,10.0.0.12,"(20, 0, 0)s"
2017-04-26 18:44:17.311440,10.0.0.13,10.0.0.12,"(22, 0, 0)s"
2017-04-26 18:44:21.378549,10.0.0.13,10.0.0.12,"(27, 0, 0)s"
2017-04-26 18:44:25.450539,10.0.0.13,10.0.0.12,"(31, 0, 0)s"
2017-04-26 18:44:29.516290,10.0.0.13,10.0.0.12,"(35, 0, 0)s"
2017-04-26 18:44:33.582911,10.0.0.13,10.0.0.12,"(39, 0, 0)s"
2017-04-26 18:44:37.651462,10.0.0.13,10.0.0.12,"(43, 0, 0)s"
2017-04-26 18:44:41.714141,10.0.0.13,10.0.0.12,"(47, 0, 0)s"
2017-04-26 18:44:45.786650,10.0.0.13,10.0.0.12,"(51, 0, 0)s"
2017-04-26 18:44:49.851094,10.0.0.13,10.0.0.12,"(55, 0, 0)s"
2017-04-26 18:44:53.917081,10.0.0.13,10.0.0.12,"(59, 0, 0)s"
2017-04-26 18:44:57.992103,10.0.0.13,10.0.0.12,"(3, 1, 1)s"
